# time,x_position,y_position,z_position
90.37903790,120510.38727751,69639.29860725,-34766.31484058
90.38903890,119908.26583594,70973.24949370,-34381.39147217
90.39903990,119113.03770538,72105.68042649,-33769.99087968
90.40904090,118183.51388642,72976.24749180,-32951.87672618
90.41904190,117189.16085267,73540.20399720,-31960.28751720
90.42904290,116202.97992200,73769.81269329,-30836.22681374
90.43904390,115302.87686188,73651.38051931,-29627.00518465
90.44904490,114563.77138188,73198.19478670,-28385.41635864
90.45904590,114055.84074146,72452.37489713,-27169.17620978
90.46904690,113835.96255607,71478.24526511,-26032.62476190
90.47904790,113947.16630972,70358.74478950,-25023.03379171
90.48904890,114406.16142033,69190.65553454,-24176.14544878
90.49904990,115196.37123767,68081.04942737,-23511.96663159
90.50905091,116274.85399439,67132.79479751,-23033.91946532
90.51905191,117580.19591349,66431.27347620,-22730.71160753
90.52905291,119034.74763374,66038.50582629,-22578.47276559
90.53905391,120548.39484519,65984.84067610,-22540.45727090
90.54905491,122033.64763174,66274.73403839,-22575.45948805
90.55905591,123414.91454729,66890.34078601,-22643.54446735
90.56905691,124628.55087447,67793.35835905,-22706.40770129
90.57905791,125625.30880173,68932.82127154,-22730.10735529
90.58905891,126371.94146415,70249.85131021,-22686.76295106
90.59905991,126850.20178021,71681.61819528,-22554.90077447
90.60906091,127051.38408847,73164.07978667,-22317.71970443
90.61906191,126979.39735711,74635.59009497,-21964.68770725
90.62906291,126651.20581926,76037.24432153,-21491.75366588
90.63906391,126094.52039117,77315.13174717,-20900.63423959
90.64906491,125340.06348428,78422.30044558,-20195.72918927
90.65906591,124426.15677924,79315.97300996,-19385.21392552
90.66906691,123398.24248048,79963.27927862,-18481.25818695
90.67906791,122308.79367135,80341.42897343,-17500.00596595
90.68906891,121212.87132217,80439.73370113,-16460.03609186
90.69906991,120169.13912217,80254.09053725,-15380.56275828
90.70907091,119237.14961990,79793.06634782,-14281.35160303
90.71907191,118472.31428058,79083.26385657,-13181.90396255
90.72907291,117925.90348612,78169.32164493,-12101.45687193
90.73907391,117640.95413265,77110.35067745,-11057.53355718
90.74907491,117644.50877941,75971.96168309,-10060.85080777
90.75907591,117951.81429653,74829.11432161,-9118.41280093
90.76907691,118554.43122127,73756.41726000,-8232.44954897
90.77907791,119419.69860387,72827.68301362,-7400.29771872
90.78907891,120497.00845188,72108.50442132,-6614.90635462
90.79907991,121729.18823678,71644.40040825,-5866.98764544
90.80908091,123049.46782283,71466.75699484,-5146.77788698
90.81908191,124388.39467789,71584.78884489,-4444.79823624
90.82908291,125675.18339566,71986.19403372,-3751.99002353
90.83908391,126850.74510679,72647.67676892,-3061.75623660
90.84908491,127863.41652517,73536.68320217,-2370.02883576
90.85908591,128672.40629026,74612.32458328,-1674.48443627
90.86908691,129249.34653662,75826.12682958,-974.59565672
90.87908791,129577.71136909,77126.81939381,-271.34146720
90.88908891,129647.94193699,78465.92990528,432.89623421
90.89908991,129458.39282763,79794.17163914,1134.95295876
90.90909091,129016.90588280,81064.62512480,1831.49259978
90.91909191,128340.81161289,82232.74839934,2519.00845941
